,journal_name,issn,citation_count_sum,paper_count_sum,avg_cites_per_paper,proj_ai,proj_ai_year
527,bmc psychiatry,1471-244X,4940.0,1257.0,3.929992044550517,1.0390000000000001,2015
528,bmc public health,1471-2458,21805.0,5646.0,3.862026213248317,1.0170000000000001,2015
529,bmc pulmonary medicine,1471-2466,1417.0,471.0,3.0084925690021227,0.743,2015
530,bmc research notes,1756-0500,5945.0,2897.0,2.052122885743873,0.45899999999999996,2015
531,bmc structural biology,1472-6807,461.0,198.0,2.3282828282828283,0.5379999999999999,2015
532,bmc surgery,1471-2482,862.0,360.0,2.3944444444444444,0.557,2015
533,bmc systems biology,1752-0509,3737.0,1052.0,3.5522813688212933,0.915,2015
534,bmc urology,1471-2490,562.0,247.0,2.2753036437246963,0.523,2015
535,bmc veterinary research,1746-6148,2326.0,938.0,2.4797441364605546,0.5820000000000001,2015
536,bmj open,2044-6055,9776.0,2833.0,3.450758912813272,0.882,2015
537,boletin de la sociedad argentina de botanica,1851-2372,59.0,122.0,0.4836065573770492,0.07400000000000001,2015
